Date,Invoice_ID,Product_Category,Product_Name,Quantity,Unit_Price,Cost_Price,Discount,Payment_Method,Customer_Type,Store_Type,Revenue,Profit
2026-03-01,INV00001,Grocery,Wheat Flour 5kg,2,280,220,15,Cash,Regular,Offline,476.0,120
2026-03-01,INV00002,Snacks,Biscuits Carton,5,300,210,15,Cash,Regular,Online,1275.0,450
2026-03-01,INV00003,Snacks,Biscuits Carton,5,300,210,5,Card,Member,Online,1425.0,450
2026-03-01,INV00004,Personal Care,Soap Pack,5,200,150,5,UPI,Member,Offline,950.0,250
2026-03-01,INV00005,Grocery,Wheat Flour 5kg,5,280,220,10,Card,Member,Online,1260.0,300
2026-03-01,INV00006,Snacks,Biscuits Carton,2,300,210,10,Cash,Member,Online,540.0,180
2026-03-01,INV00007,Household,Floor Cleaner,4,250,180,10,Cash,Member,Offline,900.0,280
2026-03-01,INV00008,Grocery,Wheat Flour 5kg,4,280,220,5,UPI,Regular,Online,1064.0,240
2026-03-01,INV00009,Grocery,Oil 1L,2,150,115,10,UPI,Regular,Online,270.0,70
2026-03-01,INV00010,Grocery,Milk 1L,4,50,35,15,Cash,Member,Online,170.0,60
2026-03-01,INV00011,Personal Care,Shampoo,3,180,130,15,Card,Regular,Online,459.0,150
2026-03-01,INV00012,Grocery,Oil 1L,4,150,115,5,Cash,Member,Online,570.0,140
2026-03-01,INV00013,Snacks,Chips Box,4,120,85,5,Card,Member,Online,456.0,140
2026-03-01,INV00014,Household,Floor Cleaner,4,250,180,5,Cash,Member,Online,950.0,280
2026-03-01,INV00015,Personal Care,Soap Pack,4,200,150,10,UPI,Regular,Offline,720.0,200
2026-03-02,INV00016,Snacks,Biscuits Carton,2,300,210,10,Card,Member,Online,540.0,180
2026-03-02,INV00017,Grocery,Milk 1L,2,50,35,15,UPI,Member,Online,85.0,30
2026-03-02,INV00018,Grocery,Milk 1L,5,50,35,15,Card,Regular,Online,212.5,75
2026-03-02,INV00019,Grocery,Oil 1L,2,150,115,10,Cash,Member,Online,270.0,70
2026-03-02,INV00020,Household,Floor Cleaner,5,250,180,15,UPI,Member,Offline,1062.5,350
2026-03-02,INV00021,Household,Detergent 2kg,2,400,300,15,Cash,Regular,Offline,680.0,200
2026-03-02,INV00022,Snacks,Chips Box,4,120,85,15,Cash,Regular,Online,408.0,140
2026-03-02,INV00023,Grocery,Milk 1L,2,50,35,5,UPI,Regular,Offline,95.0,30
2026-03-02,INV00024,Snacks,Chips Box,5,120,85,10,Cash,Regular,Offline,540.0,175
2026-03-02,INV00025,Grocery,Milk 1L,3,50,35,15,UPI,Regular,Offline,127.5,45
2026-03-02,INV00026,Grocery,Milk 1L,3,50,35,5,UPI,Regular,Online,142.5,45
2026-03-02,INV00027,Grocery,Wheat Flour 5kg,4,280,220,10,Cash,Member,Online,1008.0,240
2026-03-02,INV00028,Snacks,Biscuits Carton,4,300,210,15,Cash,Member,Online,1020.0,360
2026-03-03,INV00029,Grocery,Milk 1L,2,50,35,10,UPI,Member,Online,90.0,30
2026-03-03,INV00030,Grocery,Oil 1L,2,150,115,15,UPI,Regular,Online,255.0,70
2026-03-03,INV00031,Grocery,Oil 1L,5,150,115,10,UPI,Regular,Offline,675.0,175
2026-03-03,INV00032,Grocery,Rice 5kg,3,320,260,5,UPI,Member,Offline,912.0,180
2026-03-03,INV00033,Snacks,Chips Box,3,120,85,5,Cash,Member,Online,342.0,105
2026-03-03,INV00034,Household,Floor Cleaner,3,250,180,15,Cash,Regular,Offline,637.5,210
2026-03-03,INV00035,Snacks,Biscuits Carton,5,300,210,15,Card,Regular,Offline,1275.0,450
2026-03-03,INV00036,Snacks,Biscuits Carton,2,300,210,10,Card,Member,Offline,540.0,180
2026-03-03,INV00037,Grocery,Milk 1L,2,50,35,10,Card,Regular,Offline,90.0,30
2026-03-03,INV00038,Snacks,Chips Box,5,120,85,5,Card,Member,Online,570.0,175
2026-03-03,INV00039,Grocery,Milk 1L,5,50,35,10,Cash,Member,Offline,225.0,75
2026-03-03,INV00040,Grocery,Oil 1L,5,150,115,15,Card,Member,Offline,637.5,175
2026-03-03,INV00041,Household,Detergent 2kg,5,400,300,15,Card,Regular,Offline,1700.0,500
2026-03-03,INV00042,Personal Care,Soap Pack,3,200,150,15,UPI,Regular,Online,510.0,150
2026-03-03,INV00043,Grocery,Wheat Flour 5kg,5,280,220,5,Card,Member,Online,1330.0,300
2026-03-04,INV00044,Grocery,Wheat Flour 5kg,3,280,220,5,UPI,Member,Online,798.0,180
2026-03-04,INV00045,Grocery,Wheat Flour 5kg,4,280,220,10,Cash,Regular,Offline,1008.0,240
2026-03-04,INV00046,Grocery,Rice 5kg,5,320,260,5,Card,Member,Online,1520.0,300
2026-03-04,INV00047,Grocery,Oil 1L,5,150,115,5,Card,Regular,Online,712.5,175
2026-03-04,INV00048,Grocery,Wheat Flour 5kg,5,280,220,15,Card,Regular,Offline,1190.0,300
2026-03-04,INV00049,Personal Care,Shampoo,2,180,130,15,UPI,Regular,Offline,306.0,100
2026-03-04,INV00050,Grocery,Rice 5kg,4,320,260,10,UPI,Member,Online,1152.0,240
2026-03-04,INV00051,Grocery,Rice 5kg,3,320,260,5,Card,Member,Offline,912.0,180
2026-03-04,INV00052,Grocery,Rice 5kg,3,320,260,15,Cash,Regular,Online,816.0,180
2026-03-04,INV00053,Personal Care,Shampoo,4,180,130,10,UPI,Regular,Offline,648.0,200
2026-03-04,INV00054,Snacks,Biscuits Carton,5,300,210,5,Cash,Regular,Offline,1425.0,450
2026-03-04,INV00055,Snacks,Biscuits Carton,4,300,210,10,Cash,Member,Online,1080.0,360
2026-03-04,INV00056,Snacks,Chips Box,5,120,85,5,UPI,Member,Online,570.0,175
2026-03-05,INV00057,Grocery,Rice 5kg,5,320,260,15,UPI,Regular,Offline,1360.0,300
